Stn Id,Stn Name,CIMIS Region,Date,Jul,Precip (in),qc,Avg Vap Pres (mBars),qc,Avg Air Temp (F),qc,Avg Rel Hum (%),qc
2,FivePoints,San Joaquin Valley,12/12/2025,346,0.00, ,8.8, ,42.1, ,97, 
5,Shafter,San Joaquin Valley,12/12/2025,346,0.00, ,9.0, ,42.7, ,97, 
6,Davis,Sacramento Valley,12/12/2025,346,0.00, ,8.9, ,42.1, ,98, 
7,Firebaugh/Telles,San Joaquin Valley,12/12/2025,346,0.00,H,8.8,H,42.1,H,97, 
13,Camino,Sierra Foothill,12/12/2025,346,0.00, ,5.3, ,59.5,Y,31,Y
15,Stratford,San Joaquin Valley,12/12/2025,346,0.00, ,8.7, ,41.2, ,99, 
35,Bishop,Bishop,12/12/2025,346,0.00, ,4.5, ,44.5, ,45, 
39,Parlier,San Joaquin Valley,12/12/2025,346,0.00, ,8.8, ,42.2, ,97, 
41,Calipatria/Mulberry,Imperial/Coachella Valley,12/12/2025,346,0.00, ,11.0, ,59.8, ,63, 
43,McArthur,Northeast Plateau,12/12/2025,346,0.01, ,5.0, ,31.2, ,85, 
44,U.C. Riverside,Los Angeles Basin,12/12/2025,346,0.00, ,11.2, ,62.9, ,57, 
47,Brentwood,San Francisco Bay,12/12/2025,346,0.00, ,8.8, ,41.2, ,100, 
52,San Luis Obispo,Central Coast Valleys,12/12/2025,346,0.00, ,10.7, ,57.5, ,66, 
64,Santa Ynez,Central Coast Valleys,12/12/2025,346,0.00, ,10.2, ,51.2, ,79, 
70,Manteca,San Joaquin Valley,12/12/2025,346,0.00, ,8.7, ,40.9, ,100, 
71,Modesto,San Joaquin Valley,12/12/2025,346,0.01, ,8.7, ,40.9, ,100, 
75,Irvine,South Coast Valleys,12/12/2025,346,0.00, ,12.3, ,57.4, ,77, 
77,Oakville,North Coast Valleys,12/12/2025,346,0.01, ,8.0, ,40.0, ,95, 
78,Pomona,Los Angeles Basin,12/12/2025,346,0.03, ,12.0, ,60.9, ,66, 
80,Fresno State,San Joaquin Valley,12/12/2025,346,0.00, ,8.9, ,42.8, ,96, 
83,Santa Rosa,North Coast Valleys,12/12/2025,346,0.00, ,8.9, ,43.4, ,93, 
84,Browns Valley,Sierra Foothill,12/12/2025,346,0.01, ,7.9, ,38.3, ,100, 
87,Meloland,Imperial/Coachella Valley,12/12/2025,346,0.00, ,10.7, ,63.2, ,54, 
88,Cuyama,Central Coast Valleys,12/12/2025,346,0.00, ,7.8, ,56.7,Y,49,Y
90,Alturas,Northeast Plateau,12/12/2025,346,0.00, ,4.3, ,31.8, ,71, 
91,Tulelake FS,Northeast Plateau,12/12/2025,346,0.00, ,4.2, ,29.2, ,77, 
99,Santa Monica,Los Angeles Basin,12/12/2025,346,0.00, ,13.8, ,60.1, ,78, 
103,Windsor,North Coast Valleys,12/12/2025,346,0.01, ,8.7, ,41.5, ,98, 
104,De Laveaga,Monterey Bay,12/12/2025,346,0.00, ,8.5, ,55.1, ,57, 
105,Westlands,San Joaquin Valley,12/12/2025,346,0.00, ,8.9, ,42.5, ,96, 
106,Sanel Valley,North Coast Valleys,12/12/2025,346,0.00, ,7.6, ,42.6, ,81, 
107,Santa Barbara,Central Coast Valleys,12/12/2025,346,0.00, ,12.7, ,57.4, ,79, 
113,King City-Oasis Rd.,Monterey Bay,12/12/2025,346,0.00, ,9.4, ,53.0, ,69, 
114,Arroyo Seco,Monterey Bay,12/12/2025,346,0.00, ,8.9, ,53.5, ,64, 
116,Salinas North,Monterey Bay,12/12/2025,346,0.00, ,8.5, ,57.2, ,53, 
117,Victorville,San Bernardino,12/12/2025,346,0.00, ,7.7, ,54.9, ,52, 
124,Panoche,San Joaquin Valley,12/12/2025,346,0.00, ,9.1, ,42.2, ,100, 
125,Arvin-Edison,San Joaquin Valley,12/12/2025,346,0.00, ,9.5, ,44.7, ,94, 
126,San Benito,Monterey Bay,12/12/2025,346,0.00, ,7.9, ,45.9, ,75, 
129,Pajaro,Monterey Bay,12/12/2025,346,0.00, ,10.1, ,54.9, ,69, 
131,Fair Oaks,Sacramento Valley,12/12/2025,346,0.01, ,8.6, ,41.2, ,98, 
135,Blythe NE,Imperial/Coachella Valley,12/12/2025,346,0.00, ,10.0, ,60.0, ,56, 
136,Oasis,Imperial/Coachella Valley,12/12/2025,346,0.00, ,11.2, ,64.1, ,55, 
139,Winters,Sacramento Valley,12/12/2025,346,0.01, ,8.8, ,42.2, ,97, 
140,Twitchell Island,San Francisco Bay,12/12/2025,346,0.00, ,9.0, ,41.8, ,100, 
143,San Juan Valley,Monterey Bay,12/12/2025,346,0.00, ,8.3, ,45.8, ,79, 
144,Petaluma East,North Coast Valleys,12/12/2025,346,0.00, ,8.7, ,43.2, ,92, 
146,Belridge,San Joaquin Valley,12/12/2025,346,0.01, ,8.9, ,41.9, ,99, 
147,Otay Lake,South Coast Valleys,12/12/2025,346,0.00, ,8.8, ,58.1, ,53, 
150,Miramar,South Coast Valleys,12/12/2025,346,0.00, ,12.0, ,56.8, ,76, 
151,Ripley,Imperial/Coachella Valley,12/12/2025,346,0.00, ,11.2, ,58.3, ,67, 
152,Camarillo,Central Coast Valleys,12/12/2025,346,0.00, ,12.8, ,55.7, ,84, 
153,Escondido SPV,South Coast Valleys,12/12/2025,346,0.00, ,11.1, ,54.3, ,77, 
157,Point San Pedro,San Francisco Bay,12/12/2025,346,0.00, ,8.7, ,43.3, ,91, 
158,Bennett Valley,North Coast Valleys,12/12/2025,346,0.00, ,8.4, ,40.5, ,98, 
159,Monrovia,Los Angeles Basin,12/12/2025,346,0.00, ,12.0, ,62.3, ,63, 
160,San Luis Obispo West,Central Coast Valleys,12/12/2025,346,0.00, ,11.1, ,55.9, ,73, 
163,Atascadero,Central Coast Valleys,12/12/2025,346,0.00, ,8.6, ,48.3, ,75, 
165,Sisquoc,Central Coast Valleys,12/12/2025,346,0.00, ,10.6, ,58.2, ,64, 
170,Concord,San Francisco Bay,12/12/2025,346,0.00, ,9.2, ,42.5, ,100, 
171,Union City,San Francisco Bay,12/12/2025,346,0.00, ,8.6, ,44.2, ,88, 
173,Torrey Pines,South Coast Valleys,12/12/2025,346,0.03, ,13.8, ,56.0, ,90, 
174,Long Beach,Los Angeles Basin,12/12/2025,346,0.02, ,15.3, ,56.2, ,99, 
178,Moraga,San Francisco Bay,12/12/2025,346,0.00, ,8.7, ,42.0, ,96, 
179,Winchester,South Coast Valleys,12/12/2025,346,0.00, ,10.2, ,56.6, ,65, 
181,Westmorland North,Imperial/Coachella Valley,12/12/2025,346,0.00, ,12.1, ,59.6, ,69, 
182,Delano,San Joaquin Valley,12/12/2025,346,0.00, ,8.9, ,42.4, ,97, 
183,Owens Lake North,Bishop,12/12/2025,346,0.00, ,7.4, ,44.9, ,73, 
184,San Diego II,South Coast Valleys,12/12/2025,346,0.01, ,14.5, ,58.0, ,88, 
187,Black Point,North Coast Valleys,12/12/2025,346,0.00, ,8.5, ,43.0, ,90, 
189,Owens Lake South,Bishop,12/12/2025,346,0.00, ,6.9, ,41.7, ,76, 
191,Pleasanton,San Francisco Bay,12/12/2025,346,0.00, ,8.2, ,40.8, ,94, 
192,Lake Arrowhead,San Bernardino,12/12/2025,346,0.00, ,6.7, ,41.8, ,75, 
193,Pacific Grove,Monterey Bay,12/12/2025,346,0.00, ,9.8, ,53.0, ,72, 
194,Oakdale,San Joaquin Valley,12/12/2025,346,0.00, ,8.3, ,40.3, ,98, 
195,Auburn,Sierra Foothill,12/12/2025,346,0.01, ,8.0, ,38.5, ,100, 
